NAME,AMI,GEN,TOB,KAN,MET,PEN,VAN,TEC,CLI,ERY,MUP,LNZ,TCY,TMP,DAP,RIF,CIP,MFX
USFL258,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL056,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL045,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL230,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL319,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL003,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL213,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL149,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
FL379,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL169,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
FL394,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL033,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL171,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL164,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL013,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
USFL159,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL044,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
FL395,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL018,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
USFL153,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL012,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL135,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
USFL324,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL021,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL004,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL155,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
USFL179,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
FL357,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL224,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0
USFL170,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL214,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL315,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL195,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL217,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL298,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL341,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
FL383,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
FL371,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
USFL196,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
FL359,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL338,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL010,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL154,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL223,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0
USFL344,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL342,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL096,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL157,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL162,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0
USFL079,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
USFL163,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL307,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFL025,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL030,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL040,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL037,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
FL373,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL041,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
FL361,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL062,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL001,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
USFL257,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0
USFL165,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL067,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL064,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL111,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL183,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
USFL133,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL057,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL211,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL019,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL180,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL246,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL316,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL348,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL282,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
USFL229,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
FL389,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL167,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL005,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL081,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL199,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL191,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL073,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
FL365,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
USFL193,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL050,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
USFL284,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL141,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL097,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL121,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL278,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL116,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL112,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFL119,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL205,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL271,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL272,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0
USFL175,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL286,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL051,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0
USFL125,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
USFL343,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL099,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
USFL176,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL098,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL102,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL236,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFL299,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL244,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL290,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL352,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
USFL059,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL238,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
USFL088,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
USFL207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFL168,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL268,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL113,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL300,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
USFL275,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL109,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL247,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FL391,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL285,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL027,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFL084,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL347,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL132,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL039,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL233,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL140,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL330,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL256,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
USFL260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFL080,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL245,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL129,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL138,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL069,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL091,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL032,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL281,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL289,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL060,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
USFL317,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL185,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL331,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
USFL231,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL058,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL206,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL312,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL038,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
FL370,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL043,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
USFL092,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL106,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL263,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL034,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL117,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL318,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL011,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL055,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL124,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL212,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL173,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL308,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL014,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL054,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL101,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
USFL345,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL082,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL130,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
USFL143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL293,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL264,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL225,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL200,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL280,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL210,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
FL385,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL036,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL329,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL326,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
FL381,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL208,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL023,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
